Location Name,PlacingStartDate,PlacingEndDate,Manufacturer,Model,Version,SerialNumber,Comment,PPM
Easter Bush,07-Aug-24,,Vaisala,HMP155,A,N5050079,,TRUE
Easter Bush,07-Aug-24,,Vaisala,PTB110,,T4650765,,TRUE
Campbell Sci Ltd,07-Aug-24,,Vaisala,PTB110,,R3510588,,TRUE
Wallingford,08-Aug-24,04-Sep-24,Hydroinnova,CRS-2000/B,,HI-TC02-2026,,TRUE
Sourhope,08-Aug-24,,Campbell Scientific Ltd,CR3000,,12799,PPM,TRUE
Campbell Sci Ltd,08-Aug-24,,Campbell Scientific Ltd,CR3000,,12797,PPM,TRUE
Sourhope,08-Aug-24,,Hukseflux,NR01,,2151,PPM,TRUE
Campbell Sci Ltd,08-Aug-24,,Hukseflux,NR01,,2453,PPM,TRUE
Sourhope,08-Aug-24,,Campbell Scientific Ltd,SR50A,,14986,PPM,TRUE
Campbell Sci Ltd,08-Aug-24,,Campbell Scientific Ltd,SR50A,,6077,PPM,TRUE
Sourhope,08-Aug-24,,Vaisala,PTB110,,T4710742,PPM,TRUE
Campbell Sci Ltd,08-Aug-24,,Vaisala,PTB110,,T4710740,PPM,TRUE
Sourhope,08-Aug-24,,Vaisala,HMP155,A,V1051040,,TRUE
Stoughton,08-Aug-24,,Hydroinnova,CRS-2000/B,,HI-TC02-1303,,FALSE
Lullington Heath,13-Aug-24,,Campbell Scientific Ltd,CR3000,,9764,PPM,TRUE
Campbell Sci Ltd,13-Aug-24,,Campbell Scientific Ltd,CR3000,,9470,PPM,TRUE
Lullington Heath,13-Aug-24,,Vaisala,PTB110,,T4740217,PPM,TRUE
Campbell Sci Ltd,13-Aug-24,,Vaisala,PTB110,,R1030766,PPM,TRUE
Lullington Heath,13-Aug-24,,Vaisala,HMP155,A,T47310074,PPM,TRUE
Campbell Sci Ltd,13-Aug-24,,Vaisala,HMP155,A,S5130134,PPM,TRUE
Redhill,14-Aug-24,,Vaisala,HMP155,A,L1320543 ,PPM,TRUE
Redhill,14-Aug-24,14-Aug-24,Vaisala,HMP155,E,T4721222,PPM,TRUE
Redhill,14-Aug-24,,Vaisala,PTB110,,T4650757,PPM,TRUE
Redhill,14-Aug-24,,Vaisala,PTB110,,W0727097,PPM,TRUE
Campbell Sci Ltd,14-Aug-24,,Vaisala,HMP155,E,T4721222,,TRUE
